     X      Y Temperature
 0.060  0.900 317.250
 0.060  0.915 317.250
 0.060  0.930 317.250
 0.060  0.945 317.250
 0.060  0.960 317.250
 0.060  0.975 317.250
 0.060  0.990 317.250
 0.060  1.005 317.250
 0.060  1.020 317.250
 0.060  1.035 317.250
 0.060  1.050 317.250
 0.060  1.065 317.250
 0.060  1.080 317.250
 0.060  1.095 317.250
 0.060  1.110 317.250
 0.060  1.125 317.250
 0.060  1.140 317.250
 0.060  1.155 317.250
 0.060  1.170 317.250
 0.060  1.185 317.250
 0.060  1.200 317.250
 0.060  1.215 317.250
 0.060  1.230 317.250
 0.060  1.245 317.250
 0.060  1.260 317.250
 0.060  1.275 317.250
 0.060  1.290 317.250
 0.060  1.305 317.250
 0.060  1.320 317.250
 0.060  1.335 317.250
 0.060  1.350 317.250
 0.060  1.365 317.250
 0.060  1.380 317.250
 0.060  1.395 317.250
 0.060  1.410 317.250
 0.060  1.425 317.250
 0.060  1.440 317.250
 0.060  1.455 317.250
 0.060  1.470 317.250
 0.060  1.485 317.250
 0.060  1.500 317.250
 0.060  1.515 317.250
 0.060  1.530 317.250
 0.060  1.545 317.250
 0.060  1.560 317.250
 0.060  1.575 317.250
 0.060  1.590 317.250
 0.060  1.605 317.250
 0.060  1.620 317.250
 0.060  1.635 317.250
 0.060  1.650 317.250
 0.060  1.665 317.250
 0.060  1.680 317.250
 0.060  1.695 317.250
 0.060  1.710 317.250
 0.060  1.725 317.250
 0.060  1.740 317.250
 0.060  1.755 317.250
 0.060  1.770 317.250
 0.060  1.785 317.250
 0.060  1.800 317.250
 0.060  1.815 317.250
 0.060  1.830 317.250
 0.060  1.845 317.250
 0.060  1.860 317.250
 0.060  1.875 317.250
 0.060  1.890 317.250
 0.060  1.905 317.250
 0.060  1.920 317.250
 0.060  1.935 317.250
 0.060  1.950 317.250
 0.060  1.965 317.250
 0.060  1.980 317.250
 0.060  1.995 317.250
 0.060  2.010 317.250
 0.060  2.025 317.250
 0.060  2.040 317.250
 0.060  2.055 317.250
 0.060  2.070 317.250
 0.060  2.085 317.250
 0.060  2.100 317.250
 0.060  2.115 317.250
 0.060  2.130 317.250
 0.060  2.145 317.250
 0.060  2.160 317.250
 0.060  2.175 317.250
 0.060  2.190 317.250
 0.060  2.205 317.250
 0.060  2.220 317.250
 0.060  2.235 317.250
 0.060  2.250 317.250
 0.060  2.265 317.250
 0.060  2.280 317.250
 0.060  2.295 317.250
 0.060  2.310 317.250
 0.060  2.325 317.250
 0.060  2.340 317.250
 0.060  2.355 317.250
 0.060  2.370 317.250
 0.060  2.385 317.250
 0.060  2.400 317.250
 0.060  2.415 317.250
 0.060  2.430 317.250
 0.060  2.445 317.250
 0.060  2.460 317.250
 0.060  2.475 317.250
 0.060  2.490 317.250
 0.060  2.505 317.250
 0.060  2.520 317.250
 0.060  2.535 317.250
 0.060  2.550 317.250
 0.060  2.565 317.250
 0.060  2.580 317.250
 0.060  2.595 317.250
 0.060  2.610 317.250
 0.060  2.625 317.250
 0.060  2.640 317.250
 0.060  2.655 317.250
 0.060  2.670 317.250
 0.060  2.685 317.250
 0.060  2.700 317.250
 0.060  2.715 317.250
 0.060  2.730 317.250
 0.060  2.745 317.250
 0.060  2.760 317.250
 0.060  2.775 317.250
 0.060  2.790 317.250
 0.060  2.805 317.250
 0.060  2.820 317.250
 0.060  2.835 317.250
 0.060  2.850 317.250
 0.060  2.865 317.250
 0.060  2.880 317.250
 0.060  2.895 317.250
 0.060  2.910 317.250
 0.060  2.925 317.250
 0.060  2.940 317.250
 0.060  2.955 317.250
 0.060  2.970 317.250
 0.060  2.985 317.250
 0.060  3.000 317.250
 0.075  0.000 317.229
 0.075  0.015 317.229
 0.075  0.030 317.229
 0.075  0.045 317.229
 0.075  0.060 317.229
 0.075  0.075 317.229
 0.075  0.090 317.229
 0.075  0.105 317.229
 0.075  0.120 317.229
 0.075  0.135 317.229
 0.075  0.150 317.229
 0.075  0.165 317.229
 0.075  0.180 317.229
 0.075  0.195 317.229
 0.075  0.210 317.229
 0.075  0.225 317.229
 0.075  0.240 317.229
 0.075  0.255 317.229
 0.075  0.270 317.229
 0.075  0.285 317.229
 0.075  0.300 317.229
 0.075  0.315 317.229
 0.075  0.330 317.229
 0.075  0.345 317.229
 0.075  0.360 317.229
 0.075  0.375 317.229
 0.075  0.390 317.229
 0.075  0.405 317.229
 0.075  0.420 317.229
 0.075  0.435 317.229
 0.075  0.450 317.229
 0.075  0.465 317.229
 0.075  0.480 317.229
 0.075  0.495 317.229
 0.075  0.510 317.229
 0.075  0.525 317.229
 0.075  0.540 317.229
 0.075  0.555 317.229
 0.075  0.570 317.229
 0.075  0.585 317.229
 0.075  0.600 317.229
 0.075  0.615 317.229
 0.075  0.630 317.229
 0.075  0.645 317.229
 0.075  0.660 317.229
 0.075  0.675 317.229
 0.075  0.690 317.229
 0.075  0.705 317.229
 0.075  0.720 317.229
 0.075  0.735 317.229
 0.075  0.750 317.229
 0.075  0.765 317.229
 0.075  0.780 317.229
 0.075  0.795 317.229
 0.075  0.810 317.229
 0.075  0.825 317.229
 0.075  0.840 317.229
 0.075  0.855 317.229
 0.075  0.870 317.229
 0.075  0.885 317.229
 0.075  0.900 317.229
 0.075  0.915 317.229
 0.075  0.930 317.229
 0.075  0.945 317.229
 0.075  0.960 317.229
 0.075  0.975 317.229
 0.075  0.990 317.229
 0.075  1.005 317.229
